"Array Size","Selection","Insertion","Bubble","Merge","Quick"
"50000","452","0","290","2","4"
"100000","1805","0","1296","3","7"
"150000","4029","0","2641","4","11"
"200000","7200","1","5180","6","15"
"250000","11221","0","8451","9","13"
"300000","16167","1","10598","9","19"
"350000","22060","1","14294","11","18"
"400000","28835","1","10396","17","20"
"450000","36490","0","25260","19","23"
"500000","45048","1","31232","16","28"
